current,TOA5_JSav_2007_05_04_1330,TOA5_JSav_2007_06_01_1530,TOA5_JSav_2007_08_31_1330,TOA5_JSav_2007_10_16_1030,TOA5_JSav_2007_12_21_1630,TOA5_JSav_2008_02_25_1425,TOA5_JSav_2008_09_23_1030,TOA5_JSav_2009_03_06_1500,TOA5_JSav_2009_07_08_1600,TOA5_JSav_2011_10_09_1000,TOA5_JSav_2011_10_27_1230,TOA5_JSav_2012_04_27_1230,TOA5_JSav_2013_10_22_1300,TOA5_JSav_2014_01_10_1030,TOA5_JSav_2014_02_07_1130,TOA5_JSav_2014_02_25_1400,TOA5_JSav_2014_02_27_1800,TOA5_JSav_2014_03_12_1500,TOA5_JSav_2014_04_15_1000
SoilT_O2_30_Avg,dne,dne,soilT_Avg_9,soilT_Avg_9,soilT_Avg_9,soilT_Avg_9,soilT_Avg_9,soilT_Avg_9,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
SoilT_O2_62_Avg,dne,dne,soilT_Avg_10,soilT_Avg_10,soilT_Avg_10,soilT_Avg_10,soilT_Avg_10,soilT_Avg_10,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_E1_5_Avg,dne,dne,soilT_Avg_11,soilT_Avg_11,soilT_Avg_11,soilT_Avg_11,soilT_Avg_11,soilT_Avg_11,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_E1_10_Avg,dne,dne,soilT_Avg_12,soilT_Avg_12,soilT_Avg_12,soilT_Avg_12,soilT_Avg_12,soilT_Avg_12,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_E1_20_Avg,dne,dne,soilT_Avg_13,soilT_Avg_13,soilT_Avg_13,soilT_Avg_13,soilT_Avg_13,soilT_Avg_13,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_E1_30_Avg,dne,dne,soilT_Avg_14,soilT_Avg_14,soilT_Avg_14,soilT_Avg_14,soilT_Avg_14,soilT_Avg_14,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_E1_62_Avg,dne,dne,soilT_Avg_15,soilT_Avg_15,soilT_Avg_15,soilT_Avg_15,soilT_Avg_15,soilT_Avg_15,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_J1_5_Avg,dne,dne,soilT_Avg_16,soilT_Avg_16,soilT_Avg_16,soilT_Avg_16,soilT_Avg_16,soilT_Avg_16,SoilT_J1_2p5_Avg,soilT_Avg_1_rename,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,SoilT_J1_2p5_Avg,current
SoilT_J1_10_Avg,dne,dne,soilT_Avg_17,soilT_Avg_17,soilT_Avg_17,soilT_Avg_17,soilT_Avg_17,soilT_Avg_17,SoilT_J1_12p5_Avg,soilT_Avg_2_rename,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,SoilT_J1_12p5_Avg,current
SoilT_J1_20_Avg,dne,dne,soilT_Avg_18,soilT_Avg_18,soilT_Avg_18,soilT_Avg_18,soilT_Avg_18,soilT_Avg_18,SoilT_J1_22p5_Avg,soilT_Avg_3_rename,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,SoilT_J1_22p5_Avg,dne
SoilT_J1_30_Avg,dne,dne,soilT_Avg_19,soilT_Avg_19,soilT_Avg_19,soilT_Avg_19,soilT_Avg_19,soilT_Avg_19,dne,soilT_Avg_19,dne,dne,dne,dne,dne,dne,dne,dne,current
SoilT_J1_62_Avg,dne,dne,soilT_Avg_20,soilT_Avg_20,soilT_Avg_20,soilT_Avg_20,soilT_Avg_20,soilT_Avg_20,dne,soilT_Avg_20,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_J2_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_J2_2p5_Avg,soilT_Avg_4_rename,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,SoilT_J2_2p5_Avg,current
SoilT_J2_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_J2_12p5_Avg,soilT_Avg_5_rename,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,SoilT_J2_12p5_Avg,current
SoilT_J2_20_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_J2_22p5_Avg,soilT_Avg_6_rename,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,SoilT_J2_22p5_Avg,dne
SoilT_J2_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
SoilT_J2_62_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SoilT_J3_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_J3_2p5_Avg,soilT_Avg_7_rename,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,SoilT_J3_2p5_Avg,current
SoilT_J3_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_J3_12p5_Avg,soilT_Avg_8_rename,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,SoilT_J3_12p5_Avg,current
SoilT_J3_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_J3_22p5_Avg,soilT_Avg_9_rename,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,SoilT_J3_22p5_Avg,current
SoilT_O3_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_O3_2p5_Avg,soilT_Avg_16_rename,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,SoilT_O3_2p5_Avg,current
SoilT_O3_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_O3_12p5_Avg,soilT_Avg_17_rename,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,SoilT_O3_12p5_Avg,current
SoilT_03_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,SoilT_03_22p5_Avg,soilT_Avg_18_rename,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,SoilT_03_22p5_Avg,current
Soil_CO2_O1_5_Avg,dne,dne,Soil_CO2_Avg_1,Soil_CO2_Avg_1,dne,dne,dne,dne,dne,Soil_CO2_Avg_1,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_O1_10_Avg,dne,dne,Soil_CO2_Avg_2,Soil_CO2_Avg_2,dne,dne,dne,dne,dne,Soil_CO2_Avg_2,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_O1_20_Avg,dne,dne,Soil_CO2_Avg_3,Soil_CO2_Avg_3,dne,dne,dne,dne,dne,Soil_CO2_Avg_3,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_O1_40_Avg,dne,dne,Soil_CO2_Avg_4,Soil_CO2_Avg_4,dne,dne,dne,dne,dne,Soil_CO2_Avg_4,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_O1_100_Avg,dne,dne,Soil_CO2_Avg_5,Soil_CO2_Avg_5,dne,dne,dne,dne,dne,Soil_CO2_Avg_5,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_E1_5_Avg,dne,dne,Soil_CO2_Avg_6,Soil_CO2_Avg_6,dne,dne,dne,dne,dne,Soil_CO2_Avg_6,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_E1_10_Avg,dne,dne,Soil_CO2_Avg_7,Soil_CO2_Avg_7,dne,dne,dne,dne,dne,Soil_CO2_Avg_7,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_E1_20_Avg,dne,dne,Soil_CO2_Avg_8,Soil_CO2_Avg_8,dne,dne,dne,dne,dne,Soil_CO2_Avg_8,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_E1_40_Avg,dne,dne,Soil_CO2_Avg_9,Soil_CO2_Avg_9,dne,dne,dne,dne,dne,Soil_CO2_Avg_9,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_E1_100_Avg,dne,dne,Soil_CO2_Avg_10,Soil_CO2_Avg_10,dne,dne,dne,dne,dne,Soil_CO2_Avg_10,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_J1_5_Avg,dne,dne,Soil_CO2_Avg_11,Soil_CO2_Avg_11,dne,dne,dne,dne,dne,Soil_CO2_Avg_11,dne,dne,dne,current,current,current,current,current,current
Soil_CO2_J1_10_Avg,dne,dne,Soil_CO2_Avg_12,Soil_CO2_Avg_12,dne,dne,dne,dne,dne,Soil_CO2_Avg_12,dne,dne,dne,current,current,current,current,current,current
Soil_CO2_J1_20_Avg,dne,dne,Soil_CO2_Avg_13,Soil_CO2_Avg_13,dne,dne,dne,dne,dne,Soil_CO2_Avg_13,dne,dne,dne,current,current,dne,dne,dne,dne
Soil_CO2_J1_40_Avg,dne,dne,Soil_CO2_Avg_14,Soil_CO2_Avg_14,dne,dne,dne,dne,dne,Soil_CO2_Avg_14,dne,dne,dne,current,current,dne,dne,dne,dne
Soil_CO2_J1_100_Avg,dne,dne,Soil_CO2_Avg_15,Soil_CO2_Avg_15,dne,dne,dne,dne,dne,Soil_CO2_Avg_15,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_J2_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current
Soil_CO2_J2_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current
Soil_CO2_J2_20_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne,dne,dne
Soil_CO2_J2_40_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne,dne,dne
Soil_CO2_J2_100_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
Soil_CO2_J3_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current
Soil_CO2_J3_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current
Soil_CO2_J3_20_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne,dne,dne
Soil_CO2_J3_40_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne,dne,dne
Soil_CO2_J3_100_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
sap_J1a_Avg,dne,dne,dne,sap_Avg_1,dne,sap_Avg_1,sap_Avg_1,sap_Avg_1,sap_Avg_1,sap_Avg_1,sap_Avg_1,sap_Avg_1,sap_Avg_1,current,current,current,current,current,current
sap_J1b_Avg,dne,dne,dne,sap_Avg_2,dne,sap_Avg_2,sap_Avg_2,sap_Avg_2,sap_Avg_2,sap_Avg_2,sap_Avg_2,sap_Avg_2,sap_Avg_2,current,current,current,current,current,current
sap_J2a_Avg,dne,dne,dne,sap_Avg_3,dne,sap_Avg_3,sap_Avg_3,sap_Avg_3,sap_Avg_3,sap_Avg_3,sap_Avg_3,sap_Avg_3,sap_Avg_3,current,current,current,current,current,current
sap_J2b_Avg,dne,dne,dne,sap_Avg_4,dne,sap_Avg_4,sap_Avg_4,sap_Avg_4,sap_Avg_4,sap_Avg_4,sap_Avg_4,sap_Avg_4,sap_Avg_4,current,current,current,current,current,current
sap_J3a_Avg,dne,dne,dne,sap_Avg_5,dne,sap_Avg_5,sap_Avg_5,sap_Avg_5,sap_Avg_5,sap_Avg_5,sap_Avg_5,sap_Avg_5,sap_Avg_5,current,current,current,current,current,current
sap_J3b_Avg,dne,dne,dne,sap_Avg_6,dne,sap_Avg_6,dne,sap_Avg_6,sap_Avg_6,sap_Avg_6,sap_Avg_6,sap_Avg_6,sap_Avg_6,current,current,current,current,current,current
sap_J4a_Avg,dne,dne,dne,sap_Avg_7,dne,sap_Avg_7,dne,sap_Avg_7,sap_Avg_7,sap_Avg_7,sap_Avg_7,sap_Avg_7,sap_Avg_7,current,current,current,current,current,current
sap_J4b_Avg,dne,dne,dne,sap_Avg_8,dne,sap_Avg_8,dne,sap_Avg_8,sap_Avg_8,sap_Avg_8,sap_Avg_8,sap_Avg_8,sap_Avg_8,current,current,current,current,current,current
sap_J5a_Avg,dne,dne,dne,sap_Avg_9,dne,sap_Avg_9,dne,sap_Avg_9,sap_Avg_9,sap_Avg_9,sap_Avg_9,sap_Avg_9,sap_Avg_9,current,current,current,current,current,current
sap_J5b_Avg,dne,dne,dne,sap_Avg_10,dne,sap_Avg_10,dne,sap_Avg_10,sap_Avg_10,sap_Avg_10,sap_Avg_10,sap_Avg_10,sap_Avg_10,current,current,current,current,current,current
shf_o1_Avg,dne,dne,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,shf_Avg_1,open_north_Avg,shf_open_north_Avg,shf_open_north_Avg,current,current,current,current
shf_o2_Avg,dne,dne,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,shf_Avg_2,open_south_Avg,shf_open_south_Avg,shf_open_south_Avg,current,current,current,current
shf_o3_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne
shf_j1_Avg,dne,dne,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,shf_Avg_3,juniper_east_Avg,shf_juniper_east_Avg,shf_juniper_east_Avg,current,shf_j2_Avg,current,current
shf_j2_Avg,dne,dne,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,shf_Avg_4,juniper_west_Avg,shf_juniper_west_Avg,shf_juniper_west_Avg,current,shf_j1_Avg,current,current
shf_j3_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne
tcav_j1_Avg,dne,dne,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,TCAV_Avg_1,tcav_p1_Avg,tcav_p1_Avg,current,current,current,current
tcav_j2_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
tcav_j3_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne
tcav_01_Avg,dne,dne,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,TCAV_Avg_2,tcav_p2_Avg,tcav_p4_Avg,tcav_o1_Avg,tcav_o1_Avg,current,current
tcav_o2_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
tcav_o3_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,dne,dne
